a_word,b_alphabet,c_meaning
hoarse,英:/hɔːs/ 美:/hɔrs/,adj. 嘶哑的
hoe,英:/həʊ/ 美:/ho/,"1. vt. 锄，用锄头
2. vi. 用锄耕地"
hood,/hʊd/,"1. n. 头巾；兜帽；覆盖
2. vt. 以头巾覆盖；罩上"
hoof,英:/huːf/ 美:/huf/,"1. vi. 步行；踢；跳舞
2. vt. 用蹄踢；步行"
hue,英:/hjuː/ 美:/hju/,n. 色彩；色度；叫声
hush,英:/hʌʃ/ 美:/hʌʃ/,"1. vt. 安静；缄默；肃静
2. n. 安静；沉默；肃静"
hymn,英:/hɪm/ 美:/hɪm/,"1. n. 赞美诗；圣歌；欢乐的歌
2. vt. 唱赞美歌"
itch,英:/ɪtʃ/ 美:/ɪtʃ/,"1. n. 痒；渴望；疥疮
2. vi. 发痒；渴望"
jack,英:/dʒæk/ 美:/dʒæk/,"1. n. 千斤顶；插座；男人
2. vt. 提醒；抬起；用千斤顶顶起某物；增加"
jade,英:/dʒeɪd/ 美:/dʒed/,"1. n. 碧玉；翡翠；老马
2. adj. 玉制的；绿玉色的"
jolt,英:/dʒəʊlt/ 美:/dʒolt/,"1. vt. 使颠簸；使摇动；使震惊
2. vi. 颠簸而行；摇晃"
jug,英:/dʒʌg/ 美:/dʒʌɡ/,"1. n. 监牢；水壶
2. vt. 关押；放入壶中"
kin,英:/kɪn/ 美:/kɪn/,"1. n. 亲戚；家族；同族
2. adj. 同类的；有亲属关系的；性质类似的"
knight,英:/naɪt/ 美:/naɪt/,"1. n. 骑士，武士；爵士
2. vt. 授以爵位"
lapse,英:/læps/ 美:/læps/,"1. n. 流逝；过失；失效
2. vi. 失效；流逝；背离，失检；陷入"
ledge,英:/ledʒ/ 美:/lɛdʒ/,n. 壁架；突出之部份；暗礁；矿层
locker,英:/ˈlɔkə/ 美:/ˈlɑkɚ/,n. 柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜
loot,英:/luːt/ 美:/lut/,"1. n. 掠夺品；战利品；抢劫
2. vt. 抢劫，洗劫；强夺"
lull,英:/lʌl/ 美:/lʌl/,"1. vt. 使安静；使平静；哄骗
2. vi. 平息；减弱；停止"
lust,英:/lʌst/ 美:/lʌst/,"1. n. 性欲；强烈的欲望
2. vi. 贪求，渴望"
mar,英:/mɑː/ 美:/mɑr/,"1. vt. 损伤；损毁；糟蹋；玷污
2. n. 污点；瑕疵"
mare,英:/meə/ 美:/mɛr/,n. 母马；母驴；月球表面阴暗部
mash,英:/mæʃ/ 美:/mæʃ/,"1. n. 糊状物；饲料；麦芽浆
2. vt. 捣碎；调情"
mast,英:/mɑːst/ 美:/mæst/,"1. n. 桅杆；柱；橡树果实
2. vt. 在…上装桅杆"
monk,英:/mʌŋk/ 美:/mʌŋk/,n. 僧侣，修道士；和尚
mop,英:/mɒp/ 美:/mɑp/,"1. vt. 擦干；用拖把拖洗
2. vi. 用拖把擦洗地板；扮鬼脸"
moss,英:/mɒs/ 美:/mɔs/,"1. n. 苔藓；泥沼
2. vt. 使长满苔藓"
moth,英:/mɒθ/ 美:/mɔθ/,n. 蛾；蛀虫
mound,英:/maʊnd/ 美:/maʊnd/,"1. n. 堆；高地；坟堆；护堤
2. vt. 堆起；筑堤"
mow,英:/məʊ/ 美:/mo/,"1. n. 草堆；皱眉；谷堆
2. vt. 割草；收割庄稼"
mule,英:/mjuːl/ 美:/mjul/,骡子
Muslim,英:/ˈmuslim/ 美:/ˈmʌzləm/,"1. n. 穆斯林；穆罕默德信徒
2. adj. 伊斯兰教的"
nude,英:/njuːd/ 美:/nud/,"1. adj. 裸的，裸体的；无装饰的；与生俱有的
2. n. 裸体；裸体画"
numb,英:/nʌm/ 美:/nʌm/,"1. vt. 使麻木；使发愣；使失去感觉
2. adj. 麻木的；发愣的"
nun,英:/nʌn/ 美:/nʌn/,n. 修女，尼姑
opt,英:/ɒpt/ 美:/ɑpt/,vi. 选择
oust,英:/aʊst/ 美:/aʊst/,vt. 剥夺；驱逐；取代
outing,英:/ˈautɪŋ/ 美:/ˈaʊtɪŋ/,"1. n. 远足；短途旅游；体育比赛
2. adj. 远足适用的"
outlaw,英:/ˈautlɔː/ 美:/ˈaʊtˌlɔ/,"1. n. 歹徒；罪犯；亡命之徒；被剥夺法律保护者
2. vt. 宣布…为不合法；将…放逐；剥夺…的法律保护"
pang,英:/pæŋ/ 美:/pæŋ/,庞
pant,英:/pænt/ 美:/pænt/,"1. vi. 渴望；喘息；气喘吁吁地说出某事
2. vt. 气喘"
peck,英:/pek/ 美:/pɛk/,"1. vi. 啄食；扔石头；吹毛求疵
2. vt. 啄食；扔"
peep,英:/piːp/ 美:/pip/,"1. n. 偷看；隐约看见，瞥见
2. vi. 窥视；吱吱叫；慢慢露出，出现"
perch,英:/pɜːtʃ/ 美:/pɝtʃ/,"1. n. 杆；栖木；高位
2. vt. 栖息；位于；就位；使坐落于"
pier,英:/pɪə/ 美:/pɪr/,n. 码头，直码头；桥墩；窗间壁
plank,英:/plæŋk/ 美:/plæŋk/,"1. n. 厚木板；政纲条款；支架
2. vt. 在…上铺板；撂下；立刻付款"
plum,英:/plʌm/ 美:/plʌm/,"1. n. 李子；洋李；紫红色；梅子
2. adj. 人所希望的；有利的；上等的"
plume,英:/pluːm/ 美:/plum/,"1. vt. 用羽毛装饰
2. n. 羽毛"
plump,英:/plʌmp/ 美:/plʌmp/,"1. vt. 使鼓起；使丰满；突然放下
2. adv. 沉重地；突然地"
poise,英:/pɒɪz/ 美:/pɔɪz/,"1. n. 姿势；平衡；镇静
2. vt. 使平衡；保持...姿势"
prawn,英:/prɔːn/ 美:/prɔn/,"1. n. 对虾，明虾
2. vi. 捕虾"
prick,英:/prɪk/ 美:/prɪk/,"1. vt. 刺，戳；刺伤，刺痛；竖起
2. n. 刺，扎；刺痛，刺伤；阴茎；锥"
prop,英:/prɒp/ 美:/prɑp/,"1. vt. 支撑；维持
2. n. 支柱；支持者"
Protestant,英:/ˈprɔtistənt/ 美:/ˈprɑtɪstənt/,抗议者
pry,英:/praɪ/ 美:/praɪ/,"1. vt. 撬动，撬开
2. vi. 刺探，探查"
pulp,英:/pʌlp/ 美:/pʌlp/,"1. n. 纸浆；果肉；黏浆状物质
2. vt. 使…化成纸浆；除去…的果肉"
purge,英:/pɜːdʒ/ 美:/pɝdʒ/,"1. vi. 净化；通便
2. vt. 净化；清洗；通便"
quaint,英:/kweɪnt/ 美:/kwent/,adj. 离奇有趣的；奇怪的；古雅的；做得很精巧的
quay,英:/kwei/ 美:/ki/,n. 码头
raft,英:/rɑːft/ 美:/ræft/,"1. n. 筏；救生艇；（美）大量
2. vt. 筏运；制成筏"
ranch,英:/rɑːn(t)ʃ/ 美:/ræntʃ/,"1. n. 大牧场；大农场
2. vi. 经营牧场；在牧场工作"
rave,英:/reɪv/ 美:/rev/,"1. n. 咆哮；胡言乱语；热烈赞美
2. vi. 咆哮；胡言乱语；狂骂"
reef,英:/riːf/ 美:/rif/,"1. n. 暗礁；矿脉；收帆
2. vt. 收帆；缩帆"
rhyme,英:/raɪm/ 美:/raɪm/,"1. n. 韵脚；押韵词；韵文；韵律
2. vt. 使押韵；用韵诗表达；把…写作诗"
rinse,英:/rɪns/ 美:/rɪns/,"1. vt. 冲洗掉；漱；漂净
2. n. 冲洗；漂洗；染发剂；染发"
roam,英:/rəʊm/ 美:/rom/,"1. vi. 漫游，漫步；流浪
2. vt. 在…流浪；在…漫步，漫游"
rouge,英:/ruːʒ/ 美:/ruʒ/,"1. n. 胭脂；口红；铁丹，红铁粉
2. vt. 擦口红；在…上搽胭脂"
rut,英:/rʌt/ 美:/rʌt/,"1. n. 惯例；性冲动；发情期；凹槽
2. vt. 挖槽于；在…形成车辙"
sag,英:/sæg/ 美:/sɑɡ/,"1. n. 松弛；下跌；漂流；萧条
2. vi. 下垂；萎靡；下降"
sane,英:/seɪn/ 美:/sen/,adj. 神志正常的；健全的；理智的
scant,英:/skænt/ 美:/skænt/,"1. adj. 不足的；缺乏的；勉强够的
2. vt. 减少；节省；限制"
scoff,英:/skɒf/ 美:/skɔf/,"1. n. 嘲笑；愚弄；笑柄
2. vt. 嘲笑；嘲弄；贪婪地吃"
scoop,英:/skuːp/ 美:/skup/,"1. vt. 掘；舀取；抢先获得；搜集
2. n. 勺；铲子；凹处；独家新闻"
scowl,英:/skaʊl/ 美:/skaʊl/,"1. n. 愁容；怒容；阴沉沉的样子
2. vi. 皱眉；怒视"
screech,英:/skriːtʃ/ 美:/skritʃ/,"1. vi. 发出尖锐的声音；发出恐惧或痛苦的叫喊声
2. n. 尖叫声，尖利刺耳的声音；尖声喊叫"
seethe,英:/siːð/ 美:/sið/,"1. vi. 沸腾；冒泡；激动
2. vt. 使浸透；使煮沸"
shack,英:/ʃæk/ 美:/ʃæk/,"1. n. 小室；棚屋
2. vi. 居住"
shawl,英:/ʃɔːl/ 美:/ʃɔl/,"1. n. 围巾，长方形披巾
2. vt. 用披巾包裹"
shit,英:/ʃɪt/ 美:/ʃɪt/,"1. n. 屎；粪
2. vi. 拉屎"
shred,英:/ʃred/ 美:/ʃrɛd/,"1. n. 碎片；少量剩余；最少量；破布
2. vt. 切成条状；用碎纸机撕毁"
shrimp,英:/ʃrɪmp/ 美:/ʃrɪmp/,"1. n. 虾；小虾；矮小的人
2. vi. 捕虾"
shrine,英:/ʃraɪn/ 美:/ʃraɪn/,"1. n. 圣地；神殿；神龛；圣祠
2. vt. 将…置于神龛内；把…奉为神圣"
shroud,英:/ʃraʊd/ 美:/ʃraʊd/,"1. n. 寿衣；覆盖物；船的横桅索；护罩
2. vt. 覆盖；包以尸衣"
shun,英:/ʃʌn/ 美:/ʃʌn/,"避开, 规避, 避免"
sift,英:/sɪft/ 美:/sɪft/,"1. vt. 筛选；过滤；撒；详查
2. vi. 筛；撒下；细究；详查"
slab,英:/slæb/ 美:/slæb/,"1. n. 厚片；厚板，平板；混凝土路面
2. vt. 把…分成厚片；用石板铺"
slang,英:/slæŋ/ 美:/slæŋ/,"1. n. 俚语；行话
2. adj. 俚语的"
slant,英:/slɑːnt/ 美:/slænt/,"1. n. 观点；偏见；倾斜
2. vi. 倾斜；有倾向"
slate,英:/sleɪt/ 美:/slet/,"1. n. 板岩；石板；蓝色；石片
2. vt. 铺石板；严厉批评某人"
slay,英:/sleɪ/ 美:/sle/,"1. vt. [书]杀害，杀死；使禁不住大笑
2. vi. 杀死，杀害；残杀"
sling,英:/slɪŋ/ 美:/slɪŋ/,"1. n. 投石器；吊索；抛掷
2. vt. 用投石器投掷；吊起"
slur,英:/slɜː/ 美:/slɝ/,"1. vt. 忽视；草率地看过；含糊地念；诋毁
2. vi. 含糊地发音；潦草地写字；拖着脚走"
smack,英:/smæk/ 美:/smæk/,"1. n. 滋味；少量；海洛因；风味
2. vt. 掴；用掌击"
smear,英:/smɪə/ 美:/smɪr/,"1. vt. 弄脏；涂上；诽谤；把…擦模糊
2. n. 涂片；污点；诽谤"
snail,英:/sneɪl/ 美:/snel/,"1. n. 蜗牛；迟钝的人
2. vi. 缓慢移动"
snarl,英:/snɑːl/ 美:/snɑrl/,"1. n. 咆哮；混乱；怒骂
2. vi. 咆哮；怒骂；缠结"
sneer,英:/snɪə/ 美:/snɪr/,"1. vi. 嘲笑，冷笑
2. vt. 嘲笑，冷笑"
sneeze,英:/sniːz/ 美:/sniz/,"1. vi. 打喷嚏
2. n. 喷嚏"
snob,英:/snɒb/ 美:/snɑb/,n. 势利小人，势利眼；假内行
snore,英:/snɔː/ 美:/snɔr/,"1. n. 鼾声
2. vi. 打呼噜；打着鼾声渡过"
snort,英:/snɔːt/ 美:/snɔrt/,"1. vi. 轻蔑或愤怒地发出哼声；喷出蒸汽声
2. vt. 喷出；发哼声；[美俚]吸毒品"
soothe,英:/suːð/ 美:/sʊð/,"1. vt. 安慰；使平静；缓和
2. vi. 起抚慰作用"
spice,英:/spaɪs/ 美:/spaɪs/,"1. n. 香料；情趣；调味品；少许
2. vt. 加香料于…；使…增添趣味"
ail,英:/eɪl/ 美:/el/,"1. vt. 使苦恼，使烦恼
2. vi. 生病"
aspen,英:/ˈæspən/ 美:/ˈæspən/,"1. adj. 山杨的；类似白杨的；颤抖的
2. n. 山杨"
awl,英:/ɔːl/ 美:/ɔl/,n. 尖钻；锥子
balk,英:/bɔːlk/ 美:/bɔk/,"1. n. 障碍；错误
2. vt. 阻止；推诿；错过"
balled,/bɔ:l/,揉成团
bile,英:/baɪl/ 美:/baɪl/,n. 胆汁；愤怒
bilk,英:/bɪlk/ 美:/bɪlk/,"1. vt. 欺骗，诈骗；赖帐；使受挫折
2. n. 骗子；诈骗；赖帐"
blur,英:/blɜː/ 美:/blɝ/,"1. vt. 涂污；使…模糊不清；使暗淡；玷污
2. vi. 沾上污迹；变模糊"
cache,英:/kæʃ/ 美:/kæʃ/,"1. n. 电脑高速缓冲存储器；贮存物；隐藏处
2. vt. 隐藏；窖藏"
cadge,英:/kædʒ/ 美:/kædʒ/,"1. vi. 骗得白食；行乞；乞讨；贩卖
2. vt. 乞讨；行乞；贩卖"
cane,英:/keɪn/ 美:/ken/,"1. n. 藤条；手杖；细长的茎
2. vt. 以杖击；以藤编制"
cant,英:/kænt/ 美:/kænt/,"1. n. 斜面；伪善之言；黑话；角落
2. vi. 倾斜；讲黑话"
carp,英:/kɑːp/ 美:/kɑrp/,"1. vi. 吹毛求疵
2. n. 鲤鱼"
caste,英:/kɑːst/ 美:/kæst/,n. （具有严格等级差别的）社会地位；（印度社会中的）种姓；（排他的）社会团体
caulk,英:/kɔːk/ 美:/kɔk/,vt. 填隙使不渗水；捻缝；凿密
cede,英:/siːd/ 美:/sid/,vt. 割让（领土）；放弃
damped,/dæmp/,"1. adj. 被窒息的；阻尼的；衰减的
2. v. 使潮湿；衰减（damp的过去分词）"
dearth,英:/dɜːθ/ 美:/də..θ/,n. 缺乏；饥馑；粮食不足
deft,英:/deft/ 美:/dɛft/,adj. 灵巧的；机敏的；敏捷熟练的
deign,英:/deɪn/ 美:/den/,"1. vi. 屈尊
2. vt. 赐予"
delve,英:/delv/ 美:/dɛlv/,"1. vi. 钻研；探究；[英古]挖
2. vt. 探究；钻研；[英古]挖"
dent,英:/dent/ 美:/dɛnt/,"1. n. 凹痕；削弱；减少；[机械学]齿
2. vi. 产生凹陷；凹进去；削减"
douse,英:/daʊs/ 美:/daʊs/,"1. vt. 插入水中；弄湿；弄熄；急速收帆；脱掉（衣鞋等）
2. vi. 浸泡"
etch,英:/etʃ/ 美:/ɛtʃ/,"1. vt. 蚀刻；鲜明地描述；铭记
2. vi. 蚀刻"
ewe,英:/juː/ 美:/ju/,n. 母羊
fad,英:/fæd/ 美:/fæd/,n. 一时的爱好；时尚；一时流行的狂热
fang,英:/fæŋ/ 美:/fæŋ/,尖牙
farce,英:/fɑːs/ 美:/fɑrs/,n. 闹剧；胡闹；笑剧
fawn,英:/fɔːn/ 美:/fɔn/,"1. vi. 奉承
2. n. 浅黄褐色；小鹿；小动物"
faze,英:/feɪz/ 美:/fez/,vt. 打扰；使狼狈；折磨
feign,英:/feɪn/ 美:/fen/,"1. vt. 假装；装作；捏造；想象
2. vi. 假装；装作；作假；佯作"
feigned,英:/feɪnd/ 美:/fend/,"1. adj. 假的；捏造的；做作的
2. v. 假装；捏造（feign的过去式）"
feint,英:/feɪnt/ 美:/fent/,"1. n. 伪装；佯攻
2. vi. 假装；佯攻"
fell,英:/fel/ 美:/fɛl/,"1. adj. 凶猛的；毁灭性的
2. vt. 击倒；砍伐；打倒"
fern,英:/fɜːn/ 美:/fɝn/,n. 蕨类植物；蕨
feud,英:/fjuːd/ 美:/fjʊd/,"1. n. 不和；封地；争执
2. vi. 长期不和；长期争斗"
fiat,/fɪət/,"1. n. 命令；许可；政法
2. vt. 批准；颁布"
fig,英:/fɪg/ 美:/fɪɡ/,"1. n. [植]无花果；无价值的东西；无花果树；少许，一些；服装
2. vt. 打扮；使马跑快"
filth,英:/fɪlθ/ 美:/fɪlθ/,n. 猥亵；污秽；不洁；肮脏
flail,英:/fleɪl/ 美:/flel/,"1. vt. 用连枷打；打
2. vi. 用连枷打；打"
flak,英:/flæk/ 美:/flæk/,n. [军]高射炮；谴责；抨击
flange,英:/flæn(d)ʒ/ 美:/flændʒ/,"1. n. 凸缘；边缘；轮缘；法兰
2. vt. 给…装凸缘"
flax,英:/flæks/ 美:/flæks/,n. [植]亚麻；[植]亚麻纤维；亚麻织品；亚麻布
fledge,英:/fledʒ/ 美:/flɛdʒ/,"1. vi. 长羽毛
2. vt. 装上羽毛"
flint,英:/flɪnt/ 美:/flɪnt/,n. 燧石；打火石；极硬的东西
flora,英:/ˈflɔ:rə/ 美:/ˈflɔrə/,n. 植物群；植物区系
flout,英:/flaʊt/ 美:/flaʊt/,"1. n. 嘲笑；轻视；愚弄
2. vt. 嘲笑；愚弄；藐视"
fluke,英:/fluːk/ 美:/fluk/,"1. n. 侥幸；锚爪；意外的挫折
2. vt. 侥幸成功；意外受挫"
flux,英:/flʌks/ 美:/flʌks/,"1. n. 流量；流出；变迁；不稳定
2. vt. 使熔融；用焊剂处理"
forge,英:/fɔːdʒ/ 美:/fɔrdʒ/,"1. n. 熔炉，锻铁炉；铁工厂
2. vi. 伪造；做锻工"
fosse,英:/fɒs/ 美:/fɑs/,n. 壕；护城河
gibe,英:/dʒaib/ 美:/dʒaɪb/,"1. vt. 嘲笑；愚弄
2. vi. 嘲笑；嘲弄"
gild,英:/gɪld/ 美:/ɡɪld/,vt. 镀金；虚饰；供给钱
girth,英:/gɜːθ/ 美:/ɡɚθ/,"1. n. 周长；肚带；围长
2. vt. 围绕；包围"
gist,英:/dʒɪst/ 美:/dʒɪst/,n. 主旨，要点；依据
glitch,英:/glɪtʃ/ 美:/ɡlɪtʃ/,n. 小故障；失灵；短时脉冲波干扰
guile,英:/gaɪl/ 美:/ɡaɪl/,n. 狡猾；欺诈；诡计
guilt,英:/gɪlt/ 美:/ɡɪlt/,n. 内疚；犯罪，过失
guise,英:/gaɪz/ 美:/ɡaɪz/,"1. n. 伪装；装束；外观
2. vt. 使化装"
hale,英:/heɪl/ 美:/hel/,"1. adj. 强壮的；矍铄的（尤指老人）
2. adv. [英方]完全地"
hie,英:/haɪ/ 美:/haɪ/,"1. vt. 催促；快走；使赶紧
2. vi. 赶快；催促"
hive,英:/haɪv/ 美:/haɪv/,"1. vi. 群居；入蜂房；生活在蜂房中
2. n. 蜂房，蜂巢；热闹的场所；熙攘喧闹的人群"
hoax,英:/həʊks/ 美:/hoks/,"1. vt. 愚弄；欺骗
2. n. 恶作剧；骗局"
hone,英:/həʊn/ 美:/hon/,"1. n. 磨刀石；想念；抱怨
2. vt. 用磨刀石磨"
hoop,英:/huːp/ 美:/hup/,"1. n. 箍；铁环；呼呼声
2. vt. 加箍于；包围"
hub,英:/hʌb/ 美:/hʌb/,n. 中心；毂；木片
hulk,英:/hʌlk/ 美:/hʌlk/,"1. n. 废船；笨重的船；船体
2. vi. 庞然大物般出现；赫然显现"
hull,英:/hʌl/ 美:/hʌl/,"1. n. 船体；（果实的）外壳
2. vt. 去壳"
hunch,英:/hʌn(t)ʃ/ 美:/hʌntʃ/,"1. n. 预感；大块；肉峰
2. vt. 耸肩；预感到；弯腰驼背"
husk,英:/hʌsk/ 美:/hʌsk/,"1. n. 皮；外壳；无价值之物
2. vt. 削皮；以粗哑的嗓音说"
imp,英:/ɪmp/ 美:/ɪmp/,"1. n. 顽童，小淘气；小孩
2. vt. 给...装上翅膀；加强"
impoverish,英:/ɪmˈpɔvərɪʃ/ 美:/ɪmˈpɑvərɪʃ/,使...穷
irk,英:/ə:k/ 美:/ə..k/,vt. 使烦恼；使厌倦
jamb,英:/dʒæm/ 美:/dʒæm/,n. 矿柱，侧柱；门窗侧壁
jaunt,英:/dʒɔːnt/ 美:/dʒɔnt/,"1. n. 远足；短途旅游
2. vi. 远足；作短途旅游"
jeer,英:/dʒɪə/ 美:/dʒɪr/,"1. n. 嘲笑；戏弄；揶揄的言语
2. vi. 嘲笑；戏弄"
jibe,英:/dʒaɪb/ 美:/dʒaɪb/,"1. vi. 嘲笑
2. vt. 嘲笑"
jot,英:/dʒɒt/ 美:/dʒɑt/,"1. vt. 略记；摘要记载下来
2. n. 少量；稍许"
Ken,英:/ken/ 美:/kɛn/,肯恩
knack,英:/næk/ 美:/næk/,n. 诀窍；本领；熟练技术；巧妙手法
knave,英:/neɪv/ 美:/nev/,n. （纸牌中的）杰克；流氓；无赖
knead,英:/niːd/ 美:/nid/,vt. 按摩；捏制；揉合，揉捏
lair,英:/leə/ 美:/lɛr/,"1. n. （野兽的）巢穴；躲藏处
2. vi. 进入兽穴；在穴中休息"
lance,英:/lɑːns/ 美:/læns/,"1. n. 长矛；执矛战士；[医]柳叶刀
2. vt. 以长矛攻击；[医]用柳叶刀割开；冲进"
lank,英:/læŋk/ 美:/læŋk/,adj. 瘦的；平直的；长而柔软的；细长的
lark,英:/lɑːk/ 美:/lɑrk/,"1. n. 云雀；百灵鸟；欢乐
2. vi. 骑马玩乐；嬉耍"
laud,英:/lɔːd/ 美:/lɔd/,"1. vt. 赞美；称赞
2. n. 赞美；称赞；颂歌"
lave,英:/leɪv/ 美:/lev/,"1. vt. 洗；沐浴；冲刷
2. n. 剩余物"
leer,英:/lɪə/ 美:/lɪr/,"1. n. 媚眼，秋波；恶意的瞥视
2. vi. 抛媚眼，送秋波；斜睨"
limn,英:/lɪm/ 美:/lɪm/,vt. 描写；描绘
lithe,英:/laɪð/ 美:/laɪð/,adj. 柔软的；易弯曲的；轻盈的（等于lithesome）
loathe,英:/ləʊð/ 美:/loð/,vt. 讨厌，厌恶
lobe,英:/ləʊb/ 美:/lob/,n. 耳垂；[解]（脑、肺等的）叶；[植]裂片；[无]波瓣
lode,英:/ləʊd/ 美:/lod/,n. 矿脉；丰富的蕴藏
loll,英:/lɒl/ 美:/lɑl/,"1. vi. 懒洋洋地倚靠
2. vt. 懒洋洋地倚靠"
loom,英:/luːm/ 美:/lum/,"1. n. 织布机；若隐若现的景象
2. vi. 可怕地出现；朦胧地出现；隐约可见"
loon,英:/luːn/ 美:/lun/,n. 潜鸟；懒人；笨蛋
lope,英:/ləʊp/ 美:/lop/,"1. vi. 大步慢跑
2. vt. 使…大步慢跑"
lug,英:/lʌg/ 美:/lʌɡ/,"1. n. 支托；接线片；耳状物
2. vt. 用力拉或拖"
lurch,英:/lɜːtʃ/ 美:/lɝtʃ/,"1. n. 突然倾斜；蹒跚；挫折
2. vi. 倾斜；蹒跚"
lurk,英:/lɜːk/ 美:/lɝk/,"1. vi. 潜伏；埋伏；潜藏
2. n. 埋伏；潜伏"
lush,英:/lʌʃ/ 美:/lʌʃ/,"1. adj. 丰富的，豪华的；苍翠繁茂的
2. vi. 喝酒"
maize,英:/meɪz/ 美:/mez/,"1. adj. 黄色的，玉米色的
2. n. 玉米；黄色，玉米色"
marked,英:/mɑːkt/ 美:/mɑrkt/,"1. adj. 有记号的；显著的
2. v. 作记号；打分数；表示（mark的过去分词）"
maul,英:/mɔːl/ 美:/mɔl/,"1. n. 大槌
2. vt. 打伤；殴打；抨击；粗暴对待"
mauve,英:/məʊv/ 美:/mov/,"1. n. 淡紫色；苯胺紫；淡紫色染料
2. adj. 淡紫色的"
maze,英:/meɪz/ 美:/mez/,"1. n. 迷宫；迷惑；糊涂
2. vt. 使混乱；使困惑；迷失"
meld,英:/meld/ 美:/mɛld/,"1. vi. 合并；混合
2. vt. 使…合并；使…混合"
miff,英:/mɪf/ 美:/mɪf/,"1. n. 微怒；小争执
2. vt. 使……恼怒"
mime,英:/maɪm/ 美:/maɪm/,"1. n. 哑剧；小丑；滑稽戏
2. vi. 摸拟表演"
mince,英:/mɪns/ 美:/mɪns/,"1. vt. 切碎；矫揉做作地说
2. vi. 装腔作势；碎步走"
mirth,英:/mɜːθ/ 美:/mɝθ/,n. 欢笑；高兴；欢乐
mite,英:/maɪt/ 美:/maɪt/,n. 极小量；小虫；小孩儿；微小的东西
moat,英:/məʊt/ 美:/mot/,"1. n. 护城河；壕沟
2. vt. 将...围以壕沟"
mogul,"英:/məuˈɡʌl,ˈməuɡʌl/ 美:/ˈmoɡəl/",n. 有权势的人；显要人物
mold,英:/məuld/ 美:/mold/,"1. vt. 用模子制作；塑造；使发霉
2. vi. 发霉"
molt,英:/məʊlt/ 美:/molt/,"1. vi. 脱毛；换毛
2. n. 换毛；脱皮；换毛期"
mosque,英:/mɒsk/ 美:/mɑsk/,n. 清真寺
mote,英:/məʊt/ 美:/mot/,微尘，尘埃
muse,英:/mjuːz/ 美:/mjuz/,"1. n. 沉思；冥想
2. vt. 沉思；沉思地说"
nag,英:/næg/ 美:/næɡ/,"1. n. 老马；竞赛马；唠叨
2. vt. 使烦恼；不断地唠叨"
neolithic,英:/ˌni:əˈlɪθɪk/ 美:/ˌniəˈlɪθɪk/,新石器时代的
neutralize,英:/ˈnu:trəˌlaɪz/ 美:/ˈnjuːtrə.laɪz/,抵消
nib,英:/nɪb/ 美:/nɪb/,"1. n. 钢笔尖；嘴；鹅管笔的尖端
2. vt. 装尖头；削尖；插入"
nick,英:/nɪk/ 美:/nɪk/,"1. vt. 刻痕于；挑毛病；用刻痕记
2. n. 刻痕；缺口"
nip,英:/nip/ 美:/nɪp/,"1. vt. 夹；剪断；冻伤；捏；阻止
2. vi. 刺骨；夹；捏；小饮"
notch,英:/nɒtʃ/ 美:/nɑtʃ/,"1. n. 刻痕，凹口；峡谷；等级
2. vt. 赢得；用刻痕计算；在…上刻凹痕"
nudge,英:/nʌdʒ/ 美:/nʌdʒ/,"1. n. 用肘轻推；推动；没完没了抱怨的人
2. vt. 用肘轻推；推进；向…不停地唠叨"
odds,英:/ɒdz/ 美:/ɑdz/,n. 不平等；几率；胜算；差别
Ode,英:/əʊd/ 美:/od/,n. 赋；颂诗；颂歌
Odyssey,英:/ˈɔdisi/ 美:/ˈɑdɪsi/,n. 奥德赛（古希腊史诗）
outmaneuver,英:/autməˈnu:və/ 美:/ˌaʊtməˈnuvɚ/,智取
pack,英:/pæk/ 美:/pæk/,"1. n. 包裹；一副；一群；包装；背包
2. vt. 包装；压紧；捆扎；挑选；塞满"
packed,英:/pækt/ 美:/pækt/,"1. adj. （常用来构成复合词）充满…的，塞满了…的
2. v. 包装（pack的过去分词）"
pall,英:/pɔːl/ 美:/pɔl/,"1. n. 棺罩；遮盖物；幕
2. vt. 覆盖；使乏味"
pan,英:/pæn/ 美:/pæn/,"1. n. 平锅，盘子；[电影]摇镜头
2. vi. （镜头）被摇动"
parch,英:/pɑːtʃ/ 美:/pɑrtʃ/,"1. vt. 烤，烘；使干透
2. vi. 焦干；烤干"
pare,英:/peə/ 美:/pɛr/,vt. 削皮；剪；修掉（边等）；消减
parse,英:/pɑːz/ 美:/pɑrs/,"1. vt. 从语法上分析；解析
2. vi. 理解；从语法上分析"
patch,英:/pætʃ/ 美:/pætʃ/,"1. n. 眼罩；斑点；碎片；小块土地
2. vt. 修补；掩饰；解决"
peeve,英:/piːv/ 美:/piv/,"1. vt. 使焦躁；使气恼
2. vi. 焦躁；气恼；惹恼"
pelf,英:/pelf/ 美:/pɛlf/,n. 钱财；不义之财，赃物
pen,英:/pen/ 美:/pɛn/,钢笔; 圈进
philatelist,英:/fɪˈlætəlɪst/ 美:/fəˈlæt l..ɪst/,集邮家
pied,英:/paɪd/ 美:/paɪd/,adj. 杂色的；斑驳的；穿花衣服的
pique,英:/piːk/ 美:/pik/,"1. vt. 刺激；伤害…自尊心；激怒
2. n. 生气；愠怒；呕气"
